step,txn_count,total_amount,fraud_signal_count,fraud_rate
710,1788,378576308.51,14,0.00782997762863535
711,8,14371325.16,8,1.0
712,23,5062673.81,12,0.521739130434783
713,8,14119525.3,8,1.0
714,681,124975261.94,14,0.0205580029368576
715,1879,246325271.49,10,0.00532197977647685
716,140,32909274.65,8,0.0571428571428571
717,632,57639917.81,12,0.0189873417721519
718,918,78195898.53,16,0.0174291938997821
719,14,19259355.64,14,1.0
720,10,1617246.46,10,1.0
721,4,189712.36,4,1.0
722,10,9511315.58,10,1.0
723,14,20923093.02,14,1.0
724,14,6120113.76,14,1.0
725,4,1993163.7,4,1.0
726,22,20213984.4,22,1.0
727,12,15852217.1,12,1.0
728,10,21656065.24,10,1.0
729,4,2385956.58,4,1.0
730,28,115003435.05,28,1.0
731,16,3880955.34,16,1.0
732,10,4391950.92,10,1.0
733,10,6113203.28,10,1.0
734,8,27827406.36,8,1.0
735,12,3155523.32,12,1.0
736,14,32530967.34,14,1.0
737,10,9560119.88,10,1.0
738,10,2883702.98,10,1.0
739,10,16587831.36,10,1.0
740,6,7632963.58,6,1.0
741,22,87828992.99,22,1.0
742,14,14323735.2,14,1.0
743,8,17519825.5,8,1.0
